"","exp","wks","occ","ind","south","smsa","ms","fem","union","ed","blk","lwage","id","t","tdum1","tdum2","tdum3","tdum4","tdum5","tdum6","tdum7","exp2"
"116",19,50,0,1,0,0,1,0,0,14,0,6.74524021148682,17,4,0,0,0,1,0,0,0,361
"117",20,51,0,1,0,0,1,0,0,14,0,7.09007978439331,17,5,0,0,0,0,1,0,0,400
"118",21,46,0,1,0,0,1,0,0,14,0,7.13089990615845,17,6,0,0,0,0,0,1,0,441
"119",22,47,0,1,0,0,1,0,0,14,0,7.13089990615845,17,7,0,0,0,0,0,0,1,484
"120",25,47,0,1,1,1,1,0,0,16,0,6.90574979782104,18,1,1,0,0,0,0,0,0,625
"121",26,46,0,1,1,1,1,0,0,16,0,6.90574979782104,18,2,0,1,0,0,0,0,0,676
"122",27,47,0,1,1,1,1,0,0,16,0,7.60090017318726,18,3,0,0,1,0,0,0,0,729
"123",28,47,0,1,1,1,1,0,0,16,0,7.6496901512146,18,4,0,0,0,1,0,0,0,784
"124",29,47,0,1,1,1,1,0,0,16,0,7.71868991851807,18,5,0,0,0,0,1,0,0,841
"125",30,48,0,1,1,1,1,0,0,16,0,7.78321981430054,18,6,0,0,0,0,0,1,0,900
"126",31,47,0,1,1,1,1,0,0,16,0,7.80384016036987,18,7,0,0,0,0,0,0,1,961
"127",40,37,1,1,0,1,1,0,1,12,0,6.38687992095947,19,1,1,0,0,0,0,0,0,1600
"128",41,49,1,1,0,1,1,0,1,12,0,6.47388982772827,19,2,0,1,0,0,0,0,0,1681
"129",42,50,1,1,0,1,1,0,1,12,0,6.54246997833252,19,3,0,0,1,0,0,0,0,1764
"130",43,47,1,1,0,1,1,0,1,12,0,6.67581987380981,19,4,0,0,0,1,0,0,0,1849
"131",44,47,1,1,0,1,1,0,1,12,0,6.74170017242432,19,5,0,0,0,0,1,0,0,1936
"132",45,25,1,1,0,1,1,0,1,12,0,6.83195018768311,19,6,0,0,0,0,0,1,0,2025
"133",46,40,1,1,0,1,1,0,1,12,0,6.93633985519409,19,7,0,0,0,0,0,0,1,2116
"134",25,50,0,0,0,0,1,0,0,16,0,6.78332996368408,20,1,1,0,0,0,0,0,0,625
"135",26,49,0,1,0,0,1,0,0,16,0,6.85751008987427,20,2,0,1,0,0,0,0,0,676
"136",27,49,0,1,0,0,1,0,0,16,0,6.98472023010254,20,3,0,0,1,0,0,0,0,729
"137",28,48,0,1,0,0,1,0,0,16,0,7.05789995193481,20,4,0,0,0,1,0,0,0,784
"138",29,48,0,1,0,0,1,0,0,16,0,7.20563983917236,20,5,0,0,0,0,1,0,0,841
"139",30,49,0,1,0,0,1,0,0,16,0,7.10987997055054,20,6,0,0,0,0,0,1,0,900
"140",31,48,0,1,0,0,1,0,0,16,0,7.26682996749878,20,7,0,0,0,0,0,0,1,961
"141",28,42,1,1,1,0,1,0,1,4,0,6.05912017822266,21,1,1,0,0,0,0,0,0,784
"142",29,46,1,1,1,0,1,0,1,4,0,6.05209016799927,21,2,0,1,0,0,0,0,0,841
"143",30,49,1,1,1,0,1,0,1,4,0,5.99145984649658,21,3,0,0,1,0,0,0,0,900
"144",31,49,1,1,1,0,1,0,1,4,0,6.21461009979248,21,4,0,0,0,1,0,0,0,961
"145",32,48,1,0,1,0,1,0,1,4,0,6.32435989379883,21,5,0,0,0,0,1,0,0,1024
"146",33,45,1,0,1,0,1,0,1,4,0,6.44254016876221,21,6,0,0,0,0,0,1,0,1089
"147",34,42,1,1,1,0,1,0,1,4,0,6.44254016876221,21,7,0,0,0,0,0,0,1,1156
"148",20,46,0,0,0,0,1,0,0,14,0,6.59987020492554,22,1,1,0,0,0,0,0,0,400
"149",21,45,0,0,0,0,1,0,0,14,0,6.59987020492554,22,2,0,1,0,0,0,0,0,441
"150",22,44,0,0,0,0,1,0,0,14,0,6.68460988998413,22,3,0,0,1,0,0,0,0,484
"151",23,46,0,0,0,0,1,0,0,14,0,6.72742986679077,22,4,0,0,0,1,0,0,0,529
"152",24,47,0,0,0,0,1,0,0,14,0,6.88244009017944,22,5,0,0,0,0,1,0,0,576
"153",25,51,0,1,0,0,1,0,0,14,0,6.95655012130737,22,6,0,0,0,0,0,1,0,625
"154",26,47,0,0,0,0,1,0,0,14,0,7.04752016067505,22,7,0,0,0,0,0,0,1,676
"155",11,50,0,0,0,1,1,0,0,16,0,6.90574979782104,23,1,1,0,0,0,0,0,0,121
"156",12,50,0,0,0,1,1,0,0,16,0,6.90574979782104,23,2,0,1,0,0,0,0,0,144
"157",13,51,0,0,0,1,1,0,0,16,0,7.49554014205933,23,3,0,0,1,0,0,0,0,169
"158",14,50,0,0,0,1,1,0,0,16,0,7.66153001785278,23,4,0,0,0,1,0,0,0,196
"159",15,48,0,0,0,1,1,0,0,16,0,7.8632698059082,23,5,0,0,0,0,1,0,0,225
"160",16,47,0,0,0,1,1,0,0,16,0,8.03915977478027,23,6,0,0,0,0,0,1,0,256
"161",17,50,0,0,0,1,1,0,0,16,0,7.89356994628906,23,7,0,0,0,0,0,0,1,289
"162",5,30,0,0,0,0,0,1,0,12,0,5.43807983398438,24,1,1,0,0,0,0,0,0,25
"163",6,51,0,0,0,0,0,1,0,12,0,5.52146005630493,24,2,0,1,0,0,0,0,0,36
"164",7,51,1,0,0,0,0,1,0,12,0,5.57973003387451,24,3,0,0,1,0,0,0,0,49
"165",8,52,1,0,0,0,0,1,0,12,0,5.66987991333008,24,4,0,0,0,1,0,0,0,64
"166",9,49,1,0,0,0,0,1,0,12,0,5.73656988143921,24,5,0,0,0,0,1,0,0,81
"167",10,51,1,0,0,0,0,1,1,12,0,5.84354019165039,24,6,0,0,0,0,0,1,0,100
"168",11,50,1,0,0,0,0,1,0,12,0,5.85793018341064,24,7,0,0,0,0,0,0,1,121
"169",8,37,0,0,0,1,1,0,1,17,0,6.52941989898682,25,1,1,0,0,0,0,0,0,64
"170",9,39,0,0,0,1,1,0,1,17,0,6.5792498588562,25,2,0,1,0,0,0,0,0,81
"171",10,40,0,0,0,1,1,0,1,17,0,6.71538019180298,25,3,0,0,1,0,0,0,0,100
"172",11,38,0,0,0,1,1,0,1,17,0,6.68460988998413,25,4,0,0,0,1,0,0,0,121
"173",12,38,0,0,0,1,1,0,1,17,0,6.79122018814087,25,5,0,0,0,0,1,0,0,144
"174",13,39,0,0,0,1,1,0,1,17,0,6.97540998458862,25,6,0,0,0,0,0,1,0,169
"175",14,41,0,0,0,1,1,0,1,17,0,6.90776014328003,25,7,0,0,0,0,0,0,1,196
"176",14,48,0,1,1,1,1,0,0,15,0,6.47697019577026,26,1,1,0,0,0,0,0,0,196
"177",15,47,1,1,1,1,1,0,0,15,0,6.55108022689819,26,2,0,1,0,0,0,0,0,225
"178",16,49,0,1,1,1,1,0,0,15,0,6.86693000793457,26,3,0,0,1,0,0,0,0,256
"179",17,48,0,1,1,1,1,0,0,15,0,6.8564600944519,26,4,0,0,0,1,0,0,0,289
"180",18,47,0,1,1,1,1,0,0,15,0,7.27931976318359,26,5,0,0,0,0,1,0,0,324
"181",19,47,0,1,1,1,1,0,0,15,0,7.54961013793945,26,6,0,0,0,0,0,1,0,361
"182",20,48,0,1,1,1,1,0,0,15,0,7.3670802116394,26,7,0,0,0,0,0,0,1,400
"183",8,50,0,0,0,1,0,0,0,16,0,6.0161600112915,27,1,1,0,0,0,0,0,0,64
"184",9,52,0,0,0,1,0,0,0,16,0,6.90574979782104,27,2,0,1,0,0,0,0,0,81
"185",10,48,0,0,0,0,0,0,0,16,0,7.04752016067505,27,3,0,0,1,0,0,0,0,100
"186",11,50,0,0,0,0,0,0,0,16,0,7.26192998886108,27,4,0,0,0,1,0,0,0,121
"187",12,50,0,0,0,0,0,0,0,16,0,7.09007978439331,27,5,0,0,0,0,1,0,0,144
"188",13,45,0,0,0,0,0,0,0,16,0,6.96319007873535,27,6,0,0,0,0,0,1,0,169
"189",14,23,0,0,0,0,0,0,0,16,0,7.31322002410889,27,7,0,0,0,0,0,0,1,196
"190",26,50,1,0,0,1,1,0,0,12,0,6.73339986801147,28,1,1,0,0,0,0,0,0,676
"191",27,50,1,0,0,1,1,0,0,12,0,6.69703006744385,28,2,0,1,0,0,0,0,0,729
"192",28,50,1,0,0,1,1,0,0,12,0,6.68460988998413,28,3,0,0,1,0,0,0,0,784
"193",29,50,1,0,0,1,1,0,0,12,0,6.74524021148682,28,4,0,0,0,1,0,0,0,841
"194",30,50,1,0,0,1,1,0,0,12,0,6.73101997375488,28,5,0,0,0,0,1,0,0,900
"195",31,49,1,0,0,1,1,0,0,12,0,6.80239009857178,28,6,0,0,0,0,0,1,0,961
"196",32,49,1,0,0,1,1,0,0,12,0,6.74524021148682,28,7,0,0,0,0,0,0,1,1024
"197",31,49,0,0,0,1,1,0,0,14,0,6.90574979782104,29,1,1,0,0,0,0,0,0,961
"198",32,49,0,0,0,1,1,0,0,14,0,6.90574979782104,29,2,0,1,0,0,0,0,0,1024
"199",33,49,0,0,0,1,1,0,0,14,0,7.06219005584717,29,3,0,0,1,0,0,0,0,1089
"200",34,49,0,0,0,1,1,0,0,14,0,7.57558012008667,29,4,0,0,0,1,0,0,0,1156
"201",35,50,0,0,0,1,1,0,0,14,0,7.67322015762329,29,5,0,0,0,0,1,0,0,1225
"202",36,49,0,0,0,1,1,0,0,14,0,7.47307014465332,29,6,0,0,0,0,0,1,0,1296
"203",37,49,0,0,0,1,1,0,0,14,0,7.56008005142212,29,7,0,0,0,0,0,0,1,1369
"204",17,47,0,0,1,1,0,1,0,12,0,6.19644021987915,30,1,1,0,0,0,0,0,0,289
"205",18,47,0,0,1,1,0,1,0,12,0,6.2989501953125,30,2,0,1,0,0,0,0,0,324
"206",19,48,0,0,1,1,0,1,0,12,0,6.33150005340576,30,3,0,0,1,0,0,0,0,361
"207",20,49,0,0,1,1,0,1,0,12,0,6.36302995681763,30,4,0,0,0,1,0,0,0,400
"208",21,49,0,0,1,1,0,1,0,12,0,6.48157978057861,30,5,0,0,0,0,1,0,0,441
"209",22,45,0,0,1,1,0,1,0,12,0,6.57785987854004,30,6,0,0,0,0,0,1,0,484
"210",23,49,0,0,1,1,0,1,0,12,0,6.64378976821899,30,7,0,0,0,0,0,0,1,529
"211",22,48,0,1,0,1,1,0,0,17,0,6.90574979782104,31,1,1,0,0,0,0,0,0,484
"212",23,48,0,1,0,1,1,0,0,17,0,6.90574979782104,31,2,0,1,0,0,0,0,0,529
"213",24,48,0,1,0,1,1,0,0,17,0,7.31322002410889,31,3,0,0,1,0,0,0,0,576
"214",25,47,0,1,0,1,1,0,0,17,0,7.24422979354858,31,4,0,0,0,1,0,0,0,625
"215",26,43,0,1,0,1,1,0,0,17,0,7.48437023162842,31,5,0,0,0,0,1,0,0,676
"216",27,47,0,0,0,1,1,0,0,17,0,7.54961013793945,31,6,0,0,0,0,0,1,0,729
"217",28,45,0,1,0,1,1,0,0,17,0,7.61331987380981,31,7,0,0,0,0,0,0,1,784
"218",30,50,0,1,0,1,1,0,0,16,0,6.90574979782104,32,1,1,0,0,0,0,0,0,900
"219",31,49,0,1,0,1,1,0,0,16,0,6.90574979782104,32,2,0,1,0,0,0,0,0,961
"220",32,49,0,1,0,1,1,0,0,16,0,7.46737003326416,32,3,0,0,1,0,0,0,0,1024
"221",33,48,0,1,0,1,1,0,0,16,0,7.40853023529053,32,4,0,0,0,1,0,0,0,1089
"222",34,49,0,1,0,1,1,0,0,16,0,7.60588979721069,32,5,0,0,0,0,1,0,0,1156
"223",35,47,0,1,0,1,1,0,0,16,0,8.04878997802734,32,6,0,0,0,0,0,1,0,1225
"224",36,47,0,1,0,1,1,0,0,16,0,7.74066019058228,32,7,0,0,0,0,0,0,1,1296
"225",14,51,0,0,0,1,1,0,0,16,0,6.90574979782104,33,1,1,0,0,0,0,0,0,196
"226",15,47,0,0,0,1,1,0,0,16,0,6.90574979782104,33,2,0,1,0,0,0,0,0,225
"227",16,51,0,0,0,1,1,0,0,16,0,7.17011976242065,33,3,0,0,1,0,0,0,0,256
"228",17,47,0,0,0,1,1,0,0,16,0,7.27931976318359,33,4,0,0,0,1,0,0,0,289
"229",18,48,0,0,0,1,1,0,0,16,0,7.24065017700195,33,5,0,0,0,0,1,0,0,324
"230",19,50,0,0,0,1,1,0,0,16,0,7.37775993347168,33,6,0,0,0,0,0,1,0,361
"231",20,49,0,0,0,1,1,0,0,16,0,7.46737003326416,33,7,0,0,0,0,0,0,1,400
"232",45,48,1,0,1,0,1,0,0,8,0,5.75890016555786,34,1,1,0,0,0,0,0,0,2025
"233",46,48,1,0,1,0,1,0,0,8,0,5.86078977584839,34,2,0,1,0,0,0,0,0,2116
"234",47,48,1,0,1,0,1,0,0,8,0,5.82305002212524,34,3,0,0,1,0,0,0,0,2209
"235",48,49,1,0,1,0,1,0,0,8,0,5.9480299949646,34,4,0,0,0,1,0,0,0,2304
"236",49,50,1,0,1,0,1,0,0,8,0,6.24804019927979,34,5,0,0,0,0,1,0,0,2401
"237",50,48,1,0,1,0,1,0,0,8,0,6.20658016204834,34,6,0,0,0,0,0,1,0,2500
"238",51,46,1,0,1,0,1,0,0,8,0,5.98394012451172,34,7,0,0,0,0,0,0,1,2601
"239",8,30,1,0,0,1,1,0,1,13,1,6.51470994949341,35,1,1,0,0,0,0,0,0,64
"240",9,49,1,1,0,1,1,0,1,13,1,6.61070013046265,35,2,0,1,0,0,0,0,0,81
"241",10,48,1,1,0,1,1,0,1,13,1,6.39693021774292,35,3,0,0,1,0,0,0,0,100
"242",11,49,1,1,0,1,1,0,1,13,1,6.75227022171021,35,4,0,0,0,1,0,0,0,121
"243",12,34,1,1,0,1,1,0,1,13,1,6.88652992248535,35,5,0,0,0,0,1,0,0,144
"244",13,48,1,1,0,1,1,0,1,13,1,7.01211977005005,35,6,0,0,0,0,0,1,0,169
"245",14,45,1,1,0,1,1,0,1,13,1,7.02553987503052,35,7,0,0,0,0,0,0,1,196
"246",15,52,1,0,1,1,1,0,0,10,0,6.62006998062134,36,1,1,0,0,0,0,0,0,225
"247",16,47,0,0,1,1,1,0,0,10,0,6.77421998977661,36,2,0,1,0,0,0,0,0,256
"248",17,50,0,0,1,0,1,0,0,10,0,7.13089990615845,36,3,0,0,1,0,0,0,0,289
"249",18,50,0,0,1,0,1,0,0,10,0,7.08840990066528,36,4,0,0,0,1,0,0,0,324
"250",19,48,0,0,1,1,1,0,0,10,0,7.13089990615845,36,5,0,0,0,0,1,0,0,361
"251",20,50,0,0,1,1,1,0,0,10,0,6.90776014328003,36,6,0,0,0,0,0,1,0,400
"252",21,41,0,0,1,1,1,0,0,10,0,7.18006992340088,36,7,0,0,0,0,0,0,1,441
"253",12,52,0,0,0,1,1,0,0,14,0,6.90574979782104,37,1,1,0,0,0,0,0,0,144
"254",13,47,0,0,0,1,1,0,0,14,0,6.74170017242432,37,2,0,1,0,0,0,0,0,169
"255",14,50,0,0,0,1,1,0,0,14,0,7.00306987762451,37,3,0,0,1,0,0,0,0,196
"256",15,49,0,0,0,1,1,0,0,14,0,7.13089990615845,37,4,0,0,0,1,0,0,0,225
"257",16,50,0,0,0,1,1,0,0,14,0,7.14282989501953,37,5,0,0,0,0,1,0,0,256
"258",17,48,0,0,0,1,1,0,0,14,0,7.28276014328003,37,6,0,0,0,0,0,1,0,289
"259",18,49,0,0,0,1,0,0,0,14,0,7.40914011001587,37,7,0,0,0,0,0,0,1,324
"260",10,48,1,1,0,0,1,0,1,12,0,6.05209016799927,38,1,1,0,0,0,0,0,0,100
